TicketID,CreationDate,ResolutionDate,Status,Category,System,Version,Issue_Summary,Resolution_Notes,SOP_Reference
INC-10001,2023-10-14 08:15:00,2023-10-14 08:45:00,Closed,Network,GlobalProtect VPN,5.2.1,User getting Error 45 when connecting from home wifi,Instructed user to update MTU to 1350 in GP settings. Issue resolved.,SOP-NET-088
INC-10002,2023-10-15 09:20:00,2023-10-15 09:35:00,Closed,Identity,Active Directory,N/A,User account locked out AuthErr-775,Unlocked via AD-CORE-01. User had 5 failed attempts.,SOP-IDM-012
INC-10003,2023-10-15 11:00:00,2023-10-15 11:15:00,Closed,Identity,Active Directory,N/A,Legacy user cannot login,Unlocked account on AD-LEGACY-02 using PowerShell.,SOP-IDM-012
INC-10004,2023-10-16 14:30:00,2023-10-16 15:00:00,Closed,Network,GlobalProtect VPN,6.1.2,Error 99 Certificate Invalid,Pushed GP_Root_2024.cer from sec-file-share to user machine.,SOP-NET-088
INC-10005,2023-10-17 10:10:00,2023-10-17 10:25:00,Closed,Identity,Active Directory,N/A,AuthErr-774 user login failed,Password expired. Walked user through self-service reset portal.,SOP-IDM-012
INC-10006,2023-10-18 08:00:00,2023-10-18 08:10:00,Closed,Network,GlobalProtect VPN,5.1.0,Client disconnects immediately,User was on v5.1.0. Forced upgrade to v6.1.2 via portal.,SOP-NET-088
INC-10007,2023-10-19 13:45:00,2023-10-19 14:15:00,Closed,Identity,Active Directory,N/A,User receiving AuthErr-779,Account was disabled by HR Ops. Directed user to HR.,SOP-IDM-012
INC-10008,2023-10-20 09:05:00,2023-10-20 09:15:00,Closed,Network,GlobalProtect VPN,6.1.2,Error 45 on hotel wifi,Adjusted MTU to 1350. User successfully connected.,SOP-NET-088
INC-10009,2023-10-21 16:30:00,2023-10-21 16:40:00,Closed,Identity,Active Directory,N/A,Account locked,Auto-lockout policy active. Account auto-unlocked after 30 mins.,SOP-IDM-012
INC-10010,2023-10-22 11:12:00,2023-10-22 11:30:00,Closed,Network,GlobalProtect VPN,6.1.2,Error 99 prompt on startup,Installed missing GP_Root_2024.cer via certmgr.msc.,SOP-NET-088
CR-20001,2023-11-04 02:00:00,2023-11-04 04:30:00,Closed,Database,PostgreSQL,13.4 -> 15.2,Migrate CRM Database to PG 15,Completed successfully. Updated max_connections to 500.,SOP-DB-004
INC-10011,2023-11-04 08:00:00,2023-11-04 08:45:00,Closed,Database,PostgreSQL,15.2,App cannot connect to DB post-migration,Connections maxed out. Verified postgresql.conf had max_connections=500. Restarted app pool.,SOP-DB-004
CR-20002,2023-11-11 02:00:00,2023-11-11 03:00:00,Failed,Database,PostgreSQL,13.5 -> 15.2,Migrate HR DB,Migration failed at 120 mins. Executed pg_rollback_v2.sh.,SOP-DB-004
CR-20003,2023-11-18 01:00:00,2023-11-18 04:00:00,Closed,Infrastructure,Cisco Nexus,9.1 -> 9.3(5),Firmware upgrade core switch 1,Upgraded via 9.2(3) intermediate step. MD5 verified.,SOP-INF-045
INC-10012,2023-11-18 05:00:00,2023-11-18 06:30:00,Closed,Infrastructure,Cisco Nexus,9.1,Boot loop on core switch 2,Junior engineer attempted direct upgrade to 9.3(5). Restored from 192.168.100.55 TFTP.,SOP-INF-045
INC-10013,2023-11-20 09:10:00,2023-11-20 09:30:00,Closed,Network,GlobalProtect VPN,6.1.2,Error 45 reported by multiple users in regional office,ISP changed MTU. Pushed policy update to set MTU to 1350.,SOP-NET-088
INC-10014,2023-11-22 14:00:00,2023-11-22 14:10:00,Closed,Identity,Active Directory,N/A,AuthErr-775 lock out,Unlocked via AD-CORE-01 PowerShell script.,SOP-IDM-012
CR-20004,2023-12-02 23:00:00,2023-12-03 01:00:00,Closed,Middleware,WebLogic,14.1.1,Apply Q4 CPU patch to ERP,Backed up to /opt/oracle/backups/. Applied patch. Server RUNNING.,SOP-APP-009
INC-10015,2023-12-03 01:15:00,2023-12-03 02:00:00,Closed,Middleware,WebLogic,14.1.1,Server stuck in ADMIN state post-patch,Found JDBC data source error in AdminServer.log. Fixed DB credential.,SOP-APP-009
INC-10016,2023-12-05 10:00:00,2023-12-05 10:15:00,Closed,Identity,Active Directory,N/A,User AuthErr-774,Guided user through password reset policy.,SOP-IDM-012
CR-20005,2023-12-09 02:00:00,2023-12-09 04:00:00,Closed,Database,PostgreSQL,13.6 -> 15.2,Migrate Inventory DB,Migration successful. shared_buffers set to 16GB.,SOP-DB-004
INC-10017,2023-12-10 11:30:00,2023-12-10 11:45:00,Closed,Network,GlobalProtect VPN,5.2.2,VPN client keeps dropping,Forced upgrade from 5.2.2 to 6.1.2.,SOP-NET-088
CR-20006,2024-01-06 22:00:00,2024-01-06 23:30:00,Failed,Middleware,WebLogic,14.1.1,Apply emergency patch,Failed due to JDK mismatch. Server had JDK 17. Rolled back.,SOP-APP-009
INC-10018,2024-01-07 08:00:00,2024-01-07 09:00:00,Closed,Middleware,WebLogic,14.1.1,ERP application offline,Downgraded java version to JDK 11.0.17 and restarted WebLogic.,SOP-APP-009
INC-10019,2024-01-10 13:20:00,2024-01-10 13:30:00,Closed,Identity,Active Directory,N/A,AuthErr-779 after leave of absence,Coordinated with HR to re-enable account.,SOP-IDM-012
INC-10020,2024-01-15 09:05:00,2024-01-15 09:10:00,Closed,Network,GlobalProtect VPN,6.1.2,Error 99,Re-issued GP_Root_2024.cer.,SOP-NET-088
CR-20007,2024-01-20 02:00:00,2024-01-20 03:00:00,Closed,Infrastructure,Cisco Nexus,9.2(3) -> 9.3(5),Firmware upgrade edge switch,Upgraded directly since base was 9.2(3). Verified MD5.,SOP-INF-045
